"Date","Average_Temperature","Minimum_Temperature","Maximum_Temperature","Precipitation","Wind_Direction","Wind_Speed","Air_Pressure"
"2022-01-01",24.7,22.3,28,16.2,36,11.4,1015.9
"2022-01-02",25.7,23.5,29.2,0.1,42,12.8,1014.9
"2022-01-03",25.2,22.3,28.4,0.2,39,11.2,1014.4
"2022-01-04",24.5,21.3,28.4,0,31,10.5,1014.8
"2022-01-05",24.3,20.8,28.4,0,16,9.7,1014.5
"2022-01-06",24.8,21.1,29,0,38,8.8,1013.6
"2022-01-07",25.2,21.4,29.2,0.9,56,8.9,1013.7
"2022-01-08",25.4,22.1,28.8,0.3,52,8.8,1014.1
"2022-01-09",25.1,21.7,29.8,0,65,7.1,1012.8
"2022-01-10",25.4,20.9,30,0,89,6.7,1012.8
"2022-01-11",25.9,22.5,30.6,0,74,7.4,1012.5
"2022-01-12",25.8,22.4,30.6,2.6,92,6.2,1011.9
"2022-01-13",25.6,22.3,30.8,3.1,79,5.1,1011.7
"2022-01-14",25.6,21.8,30.8,0.9,83,4.9,1011.3
"2022-01-15",25.4,21.9,30,1.1,29,8.2,1012.2
"2022-01-16",25.6,22.1,30.2,1.7,33,10.2,1013.8
"2022-01-17",24.2,22.1,27.6,2.6,19,9.2,1015.6
"2022-01-18",24.4,21.6,28,0.8,26,8.3,1014.9
"2022-01-19",24.2,20.5,28.7,0,23,7,1013.1
"2022-01-20",24,19,29.6,0,67,6.6,1011.4
"2022-01-21",24.7,19.2,30,0,177,7.4,1011.1
"2022-01-22",25.5,21.3,30.8,0,180,8.3,1009.3
"2022-01-23",26.3,23.1,31,0.6,181,9.9,1008.9
"2022-01-24",25.9,23.1,29.7,1.8,186,8.5,1009
"2022-01-25",25.7,22.1,31,1.1,163,7.2,1009.7
"2022-01-26",25.5,21.5,30,0.2,132,5.2,1010.6
"2022-01-27",25.4,22.4,30.4,1.8,45,8.4,1011.3
"2022-01-28",25.3,21.8,29.4,1.7,22,9.9,1012.6
"2022-01-29",26.1,24.3,29.6,0,31,12.9,1013.5
"2022-01-30",25.8,22.8,29.2,0.4,45,8.6,1012.5
"2022-01-31",25.5,21.5,30,0,67,6.5,1011.7
"2022-02-01",24.7,20.5,30.2,0,88,5.9,1011.3
"2022-02-02",23.9,18.9,29.6,0,142,6.1,1012
"2022-02-03",24.4,19,30.2,0,153,7.8,1011.4
"2022-02-04",25.8,20.6,31.3,0,162,7.6,1009.5
"2022-02-05",26.2,22.1,31,0.5,121,6.9,1010.6
"2022-02-06",26.1,23,30.6,0.5,87,8.6,1013.3
"2022-02-07",25.6,22.3,30.2,0,50,7.7,1013.9
"2022-02-08",25.2,21,30,0,60,7.9,1012.7
"2022-02-09",25.2,22,29.2,0,74,9.3,1012.8
"2022-02-10",25.4,21.5,30,0,31,8.8,1012.1
"2022-02-11",25.5,20.6,30,0,25,10,1011.9
"2022-02-12",26.1,22.1,30,0,42,11.4,1011.5
"2022-02-13",25.8,21.9,30.8,0.4,48,9.6,1010.8
"2022-02-14",25.8,22.1,29.4,0.6,59,10.1,1010.8
"2022-02-15",25.7,21.1,29.8,0,65,9.3,1011
"2022-02-16",25.2,20.3,29.6,0,56,7.8,1009.1
"2022-02-17",25.4,20.4,29.6,0,46,8,1008.2
"2022-02-18",26,22.6,30.2,0,60,9.9,1009.8
"2022-02-19",25.9,22.1,30.4,0,52,8.5,1011.9
"2022-02-20",25.7,20.1,31.4,0,127,7.2,1010.7
"2022-02-21",26.6,21.7,32.9,0,183,9.1,1009.2
"2022-02-22",26.6,22.2,31.6,0,152,7.3,1011.2
